field1,field2,datasets_present,avg_correlation,abs_avg_correlation
survey_year,survey_year_label,11,1,1
survey_year_label,survey_year,11,1,1
ci_high,value,3,0.9988745080515842,0.9988745080515842
value,ci_high,3,0.9988745080515842,0.9988745080515842
denominator_unweighted,denominator_weighted,13,0.9981827423238572,0.9981827423238572
denominator_weighted,denominator_unweighted,13,0.9981827423238572,0.9981827423238572
ci_low,value,3,0.9973002239708659,0.9973002239708659
value,ci_low,3,0.9973002239708659,0.9973002239708659
ci_high,ci_low,3,0.9932457628350115,0.9932457628350115
ci_low,ci_high,3,0.9932457628350115,0.9932457628350115
characteristic_id,characteristic_order,7,0.9722708893361152,0.9722708893361152
characteristic_order,characteristic_id,7,0.9722708893361152,0.9722708893361152
by_variable_id,characteristic_id,3,0.10055680414484137,0.7540208400248648
characteristic_id,by_variable_id,3,0.10055680414484137,0.7540208400248648
characteristic_order,indicator_order,7,-0.426078301131156,0.7383259796390907
indicator_order,characteristic_order,7,-0.426078301131156,0.7383259796390907
characteristic_id,indicator_order,7,-0.3534719788212715,0.6657196573292062
indicator_order,characteristic_id,7,-0.3534719788212715,0.6657196573292062
by_variable_id,characteristic_order,3,0.20305829540297884,0.6515193487667273
characteristic_order,by_variable_id,3,0.20305829540297884,0.6515193487667273
precision,value,11,-0.6172916155858901,0.6210441114587705
value,precision,11,-0.6172916155858901,0.6210441114587705
denominator_weighted,indicator_order,13,-0.06467905754393778,0.6030993417664523
indicator_order,denominator_weighted,13,-0.06467905754393778,0.6030993417664523
denominator_unweighted,indicator_order,13,-0.05973104725433184,0.5655228483985856
indicator_order,denominator_unweighted,13,-0.05973104725433184,0.5655228483985856
by_variable_id,is_preferred,5,-0.145529761543078,0.545529761543078
is_preferred,by_variable_id,5,-0.145529761543078,0.545529761543078
data_id,survey_year,11,-0.42580919641810533,0.5284907798831742
data_id,survey_year_label,11,-0.42580919641810533,0.5284907798831742
survey_year,data_id,11,-0.42580919641810533,0.5284907798831742
survey_year_label,data_id,11,-0.42580919641810533,0.5284907798831742
ci_low,survey_year,3,0.2949716248377652,0.47272122377091375
ci_low,survey_year_label,3,0.2949716248377652,0.47272122377091375
survey_year,ci_low,3,0.2949716248377652,0.47272122377091375
survey_year_label,ci_low,3,0.2949716248377652,0.47272122377091375
data_id,denominator_unweighted,13,0.34309068728282544,0.4622116987672956
denominator_unweighted,data_id,13,0.34309068728282544,0.4622116987672956
ci_high,survey_year,3,0.34034755806132566,0.4584702682016164
ci_high,survey_year_label,3,0.34034755806132566,0.4584702682016164
survey_year,ci_high,3,0.34034755806132566,0.4584702682016164
survey_year_label,ci_high,3,0.34034755806132566,0.4584702682016164
denominator_weighted,survey_year,11,-0.4225322543783391,0.4225322543783391
denominator_weighted,survey_year_label,11,-0.4225322543783391,0.4225322543783391
survey_year,denominator_weighted,11,-0.4225322543783391,0.4225322543783391
survey_year_label,denominator_weighted,11,-0.4225322543783391,0.4225322543783391
denominator_unweighted,survey_year,11,-0.42222114823598594,0.42222114823598594
denominator_unweighted,survey_year_label,11,-0.42222114823598594,0.42222114823598594
survey_year,denominator_unweighted,11,-0.42222114823598594,0.42222114823598594
survey_year_label,denominator_unweighted,11,-0.42222114823598594,0.42222114823598594
characteristic_id,is_preferred,3,0.03593982202477289,0.4163380901297433
is_preferred,characteristic_id,3,0.03593982202477289,0.4163380901297433
data_id,denominator_weighted,13,0.29836096560879377,0.4133325573758173
denominator_weighted,data_id,13,0.29836096560879377,0.4133325573758173
ci_low,denominator_unweighted,3,0.39936006962279785,0.39936006962279785
denominator_unweighted,ci_low,3,0.39936006962279785,0.39936006962279785
characteristic_id,denominator_weighted,7,-0.030419104069819874,0.3993027190918041
characteristic_order,denominator_weighted,7,-0.030419104069819874,0.3993027190918041
denominator_weighted,characteristic_id,7,-0.030419104069819874,0.3993027190918041
denominator_weighted,characteristic_order,7,-0.030419104069819874,0.3993027190918041
characteristic_id,denominator_unweighted,7,-0.03139562683068995,0.39541022468882603
characteristic_order,denominator_unweighted,7,-0.03139562683068995,0.39541022468882603
denominator_unweighted,characteristic_id,7,-0.03139562683068995,0.39541022468882603
denominator_unweighted,characteristic_order,7,-0.03139562683068995,0.39541022468882603
characteristic_order,is_preferred,3,-0.0232394418472996,0.35715882625767087
is_preferred,characteristic_order,3,-0.0232394418472996,0.35715882625767087
ci_low,data_id,3,-0.13113655865765372,0.3398230931260018
data_id,ci_low,3,-0.13113655865765372,0.3398230931260018
ci_low,precision,2,-0.3334275796788601,0.3334275796788601
precision,ci_low,2,-0.3334275796788601,0.3334275796788601
ci_high,data_id,3,-0.11103616535530822,0.32381031266674487
data_id,ci_high,3,-0.11103616535530822,0.32381031266674487
denominator_weighted,value,13,0.1690305047476327,0.32287665859378656
value,denominator_weighted,13,0.1690305047476327,0.32287665859378656
ci_high,precision,2,-0.2871762122924725,0.2871762122924725
precision,ci_high,2,-0.2871762122924725,0.2871762122924725
denominator_weighted,is_preferred,5,0.08158429960588418,0.2871073481366471
is_preferred,denominator_weighted,5,0.08158429960588418,0.2871073481366471
ci_high,denominator_unweighted,3,0.2834627922816879,0.2834627922816879
denominator_unweighted,ci_high,3,0.2834627922816879,0.2834627922816879
denominator_unweighted,is_preferred,5,0.07589798566063129,0.2821514677860056
is_preferred,denominator_unweighted,5,0.07589798566063129,0.2821514677860056
denominator_unweighted,value,13,0.28143378178469136,0.28143378178469136
value,denominator_unweighted,13,0.28143378178469136,0.28143378178469136
indicator_order,value,13,-0.022871691219348598,0.277202893164382
value,indicator_order,13,-0.022871691219348598,0.277202893164382
by_variable_id,indicator_order,5,-0.07438408580145334,0.2666048683563167
indicator_order,by_variable_id,5,-0.07438408580145334,0.2666048683563167
data_id,indicator_order,13,0.048239107279784935,0.2638285008225366
indicator_order,data_id,13,0.048239107279784935,0.2638285008225366
by_variable_id,ci_high,2,-0.24333136010614337,0.24741771543250463
ci_high,by_variable_id,2,-0.24333136010614337,0.24741771543250463
by_variable_id,ci_low,2,-0.18902714436232837,0.24242815324646177
ci_low,by_variable_id,2,-0.18902714436232837,0.24242815324646177
by_variable_id,denominator_weighted,5,-0.053523522973404104,0.22776062620432114
denominator_weighted,by_variable_id,5,-0.053523522973404104,0.22776062620432114
by_variable_id,denominator_unweighted,5,-0.0502905237613597,0.2225355290651145
denominator_unweighted,by_variable_id,5,-0.0502905237613597,0.2225355290651145
ci_low,denominator_weighted,3,0.19989480251416095,0.19989480251416095
denominator_weighted,ci_low,3,0.19989480251416095,0.19989480251416095
characteristic_id,value,7,0.09940130651776956,0.1954176751563727
value,characteristic_id,7,0.09940130651776956,0.1954176751563727
data_id,is_preferred,5,0.13086244261811514,0.19407644627589699
is_preferred,data_id,5,0.13086244261811514,0.19407644627589699
characteristic_id,ci_low,3,-0.1934085749917455,0.1934085749917455
characteristic_order,ci_low,3,-0.1934085749917455,0.1934085749917455
ci_low,characteristic_id,3,-0.1934085749917455,0.1934085749917455
ci_low,characteristic_order,3,-0.1934085749917455,0.1934085749917455
ci_low,indicator_order,3,0.0722804255981911,0.19045719614966777
indicator_order,ci_low,3,0.0722804255981911,0.19045719614966777
characteristic_order,value,7,0.048583456896944724,0.18004209981523295
value,characteristic_order,7,0.048583456896944724,0.18004209981523295
data_id,value,13,0.00603735625800182,0.1789526182291213
value,data_id,13,0.00603735625800182,0.1789526182291213
characteristic_order,data_id,7,-0.10452073815146001,0.17396475415278953
data_id,characteristic_order,7,-0.10452073815146001,0.17396475415278953
characteristic_id,data_id,7,-0.10406977016509453,0.17351378616642404
data_id,characteristic_id,7,-0.10406977016509453,0.17351378616642404
ci_high,indicator_order,3,0.08483046451876301,0.16776190641058475
indicator_order,ci_high,3,0.08483046451876301,0.16776190641058475
characteristic_id,survey_year,6,0.06260321763879571,0.16401292770810516
characteristic_id,survey_year_label,6,0.06260321763879571,0.16401292770810516
characteristic_order,survey_year,6,0.06260321763879571,0.16401292770810516
characteristic_order,survey_year_label,6,0.06260321763879571,0.16401292770810516
survey_year,characteristic_id,6,0.06260321763879571,0.16401292770810516
survey_year,characteristic_order,6,0.06260321763879571,0.16401292770810516
survey_year_label,characteristic_id,6,0.06260321763879571,0.16401292770810516
survey_year_label,characteristic_order,6,0.06260321763879571,0.16401292770810516
ci_low,is_preferred,2,0.05605050379467961,0.16282964440394132
is_preferred,ci_low,2,0.05605050379467961,0.16282964440394132
indicator_order,precision,11,-0.10087688834745809,0.1560292515621793
precision,indicator_order,11,-0.10087688834745809,0.1560292515621793
by_variable_id,data_id,5,-0.025144563864094357,0.14697239914632823
data_id,by_variable_id,5,-0.025144563864094357,0.14697239914632823
characteristic_id,ci_high,3,-0.14563084615757046,0.14563084615757046
characteristic_order,ci_high,3,-0.14563084615757046,0.14563084615757046
ci_high,characteristic_id,3,-0.14563084615757046,0.14563084615757046
ci_high,characteristic_order,3,-0.14563084615757046,0.14563084615757046
by_variable_id,value,5,-0.06775613308076134,0.14500321728279741
value,by_variable_id,5,-0.06775613308076134,0.14500321728279741
data_id,precision,11,0.12446278740232913,0.1447939665564224
precision,data_id,11,0.12446278740232913,0.1447939665564224
indicator_order,survey_year,11,0.04201612864322842,0.14059650230292195
indicator_order,survey_year_label,11,0.04201612864322842,0.14059650230292195
survey_year,indicator_order,11,0.04201612864322842,0.14059650230292195
survey_year_label,indicator_order,11,0.04201612864322842,0.14059650230292195
indicator_order,is_preferred,5,0.11704716765147197,0.14025751802773093
is_preferred,indicator_order,5,0.11704716765147197,0.14025751802773093
ci_high,is_preferred,2,0.12951864226784948,0.1376896023131864
is_preferred,ci_high,2,0.12951864226784948,0.1376896023131864
survey_year,value,11,-0.07971669715715193,0.12077034820941658
survey_year_label,value,11,-0.07971669715715193,0.12077034820941658
value,survey_year,11,-0.07971669715715193,0.12077034820941658
value,survey_year_label,11,-0.07971669715715193,0.12077034820941658
is_preferred,value,5,0.07629425779682812,0.10616872493650083
value,is_preferred,5,0.07629425779682812,0.10616872493650083
characteristic_id,precision,5,0.028931278229230948,0.09434839190873674
characteristic_order,precision,5,0.028931278229230948,0.09434839190873674
precision,characteristic_id,5,0.028931278229230948,0.09434839190873674
precision,characteristic_order,5,0.028931278229230948,0.09434839190873674
ci_high,denominator_weighted,3,0.07775634885781216,0.07775634885781216
denominator_weighted,ci_high,3,0.07775634885781216,0.07775634885781216
denominator_weighted,precision,11,-0.033454933999422544,0.07298795163110336
precision,denominator_weighted,11,-0.033454933999422544,0.07298795163110336
by_variable_id,survey_year,5,-0.010820394991314493,0.07232680621810322
by_variable_id,survey_year_label,5,-0.010820394991314493,0.07232680621810322
survey_year,by_variable_id,5,-0.010820394991314493,0.07232680621810322
survey_year_label,by_variable_id,5,-0.010820394991314493,0.07232680621810322
precision,survey_year,9,0.02367684869340447,0.06827464841011943
precision,survey_year_label,9,0.02367684869340447,0.06827464841011943
survey_year,precision,9,0.02367684869340447,0.06827464841011943
survey_year_label,precision,9,0.02367684869340447,0.06827464841011943
denominator_unweighted,precision,11,-0.035054612137637005,0.05793560416586517
precision,denominator_unweighted,11,-0.035054612137637005,0.05793560416586517
is_preferred,precision,4,0.040640713862614475,0.05581161429703076
precision,is_preferred,4,0.040640713862614475,0.05581161429703076
is_preferred,survey_year,5,0.019856872828462643,0.031032085098966065
is_preferred,survey_year_label,5,0.019856872828462643,0.031032085098966065
survey_year,is_preferred,5,0.019856872828462643,0.031032085098966065
survey_year_label,is_preferred,5,0.019856872828462643,0.031032085098966065
by_variable_id,precision,4,0.02145899256200867,0.02145899256200867
precision,by_variable_id,4,0.02145899256200867,0.02145899256200867
