field1,field2,correlation,dataset
survey_year,survey_year_label,1,access-to-health-care_national_zaf
survey_year_label,survey_year,1,access-to-health-care_national_zaf
characteristic_id,characteristic_order,1,anthropometry_national_zaf
characteristic_order,characteristic_id,1,anthropometry_national_zaf
survey_year,survey_year_label,1,child-mortality-rates_national_zaf
survey_year,denominator_weighted,-1,child-mortality-rates_national_zaf
survey_year,denominator_unweighted,-1,child-mortality-rates_national_zaf
survey_year_label,survey_year,1,child-mortality-rates_national_zaf
survey_year_label,denominator_weighted,-1,child-mortality-rates_national_zaf
survey_year_label,denominator_unweighted,-1,child-mortality-rates_national_zaf
denominator_weighted,survey_year,-1,child-mortality-rates_national_zaf
denominator_weighted,survey_year_label,-1,child-mortality-rates_national_zaf
denominator_weighted,denominator_unweighted,1,child-mortality-rates_national_zaf
denominator_unweighted,survey_year,-1,child-mortality-rates_national_zaf
denominator_unweighted,survey_year_label,-1,child-mortality-rates_national_zaf
denominator_unweighted,denominator_weighted,1,child-mortality-rates_national_zaf
survey_year,survey_year_label,1,covid-19-prevention_national_zaf
survey_year_label,survey_year,1,covid-19-prevention_national_zaf
survey_year,survey_year_label,1,dhs-quickstats_national_zaf
characteristic_id,characteristic_order,1,dhs-quickstats_national_zaf
characteristic_order,characteristic_id,1,dhs-quickstats_national_zaf
survey_year_label,survey_year,1,dhs-quickstats_national_zaf
survey_year,survey_year_label,1,hiv-behavior_national_zaf
characteristic_id,characteristic_order,1,hiv-behavior_national_zaf
characteristic_order,characteristic_id,1,hiv-behavior_national_zaf
survey_year_label,survey_year,1,hiv-behavior_national_zaf
survey_year,survey_year_label,1,immunization_national_zaf
characteristic_id,characteristic_order,1,immunization_national_zaf
characteristic_order,characteristic_id,1,immunization_national_zaf
survey_year_label,survey_year,1,immunization_national_zaf
survey_year,survey_year_label,1,iycf_national_zaf
characteristic_id,characteristic_order,1,iycf_national_zaf
characteristic_order,characteristic_id,1,iycf_national_zaf
survey_year_label,survey_year,1,iycf_national_zaf
denominator_weighted,denominator_unweighted,1,literacy_national_zaf
denominator_unweighted,denominator_weighted,1,literacy_national_zaf
data_id,denominator_weighted,1,maternal-mortality_national_zaf
value,denominator_weighted,-1,maternal-mortality_national_zaf
survey_year,survey_year_label,1,maternal-mortality_national_zaf
survey_year,denominator_weighted,-1,maternal-mortality_national_zaf
survey_year,denominator_unweighted,-1,maternal-mortality_national_zaf
characteristic_id,characteristic_order,1,maternal-mortality_national_zaf
characteristic_order,characteristic_id,1,maternal-mortality_national_zaf
survey_year_label,survey_year,1,maternal-mortality_national_zaf
survey_year_label,denominator_weighted,-1,maternal-mortality_national_zaf
survey_year_label,denominator_unweighted,-1,maternal-mortality_national_zaf
denominator_weighted,data_id,1,maternal-mortality_national_zaf
denominator_weighted,value,-1,maternal-mortality_national_zaf
denominator_weighted,survey_year,-1,maternal-mortality_national_zaf
denominator_weighted,survey_year_label,-1,maternal-mortality_national_zaf
denominator_weighted,denominator_unweighted,1,maternal-mortality_national_zaf
denominator_unweighted,survey_year,-1,maternal-mortality_national_zaf
denominator_unweighted,survey_year_label,-1,maternal-mortality_national_zaf
denominator_unweighted,denominator_weighted,1,maternal-mortality_national_zaf
survey_year,survey_year_label,1,symptoms-of-acute-respiratory-infection-ari_national_zaf
by_variable_id,is_preferred,1,symptoms-of-acute-respiratory-infection-ari_national_zaf
is_preferred,by_variable_id,1,symptoms-of-acute-respiratory-infection-ari_national_zaf
survey_year_label,survey_year,1,symptoms-of-acute-respiratory-infection-ari_national_zaf
survey_year,survey_year_label,1,toilet-facilities_national_zaf
survey_year_label,survey_year,1,toilet-facilities_national_zaf
survey_year,survey_year_label,1,water_national_zaf
survey_year_label,survey_year,1,water_national_zaf
characteristic_id,by_variable_id,0.9999999999961101,immunization_national_zaf
characteristic_order,by_variable_id,0.9999999999961101,immunization_national_zaf
by_variable_id,characteristic_id,0.9999999999961101,immunization_national_zaf
by_variable_id,characteristic_order,0.9999999999961101,immunization_national_zaf
indicator_order,characteristic_id,-0.9999994890740077,maternal-mortality_national_zaf
indicator_order,characteristic_order,-0.9999994890740077,maternal-mortality_national_zaf
characteristic_id,indicator_order,-0.9999994890740077,maternal-mortality_national_zaf
characteristic_order,indicator_order,-0.9999994890740077,maternal-mortality_national_zaf
value,ci_high,0.9999700470178886,maternal-mortality_national_zaf
ci_high,value,0.9999700470178886,maternal-mortality_national_zaf
denominator_weighted,denominator_unweighted,0.9999545780463526,immunization_national_zaf
denominator_unweighted,denominator_weighted,0.9999545780463526,immunization_national_zaf
denominator_weighted,denominator_unweighted,0.9999407534558203,water_national_zaf
denominator_unweighted,denominator_weighted,0.9999407534558203,water_national_zaf
denominator_weighted,denominator_unweighted,0.9999407075048042,toilet-facilities_national_zaf
denominator_unweighted,denominator_weighted,0.9999407075048042,toilet-facilities_national_zaf
denominator_weighted,denominator_unweighted,0.9998830545348474,access-to-health-care_national_zaf
denominator_unweighted,denominator_weighted,0.9998830545348474,access-to-health-care_national_zaf
denominator_weighted,denominator_unweighted,0.9998788422067586,symptoms-of-acute-respiratory-infection-ari_national_zaf
denominator_unweighted,denominator_weighted,0.9998788422067586,symptoms-of-acute-respiratory-infection-ari_national_zaf
denominator_weighted,denominator_unweighted,0.9998331065042249,covid-19-prevention_national_zaf
denominator_unweighted,denominator_weighted,0.9998331065042249,covid-19-prevention_national_zaf
denominator_weighted,denominator_unweighted,0.9997860251283291,iycf_national_zaf
denominator_unweighted,denominator_weighted,0.9997860251283291,iycf_national_zaf
value,ci_high,0.99976004694555,dhs-quickstats_national_zaf
ci_high,value,0.99976004694555,dhs-quickstats_national_zaf
value,ci_low,0.9995857997698415,maternal-mortality_national_zaf
ci_low,value,0.9995857997698415,maternal-mortality_national_zaf
ci_low,ci_high,0.9993331147045671,maternal-mortality_national_zaf
ci_high,ci_low,0.9993331147045671,maternal-mortality_national_zaf
denominator_weighted,denominator_unweighted,0.9991834851389727,anthropometry_national_zaf
denominator_unweighted,denominator_weighted,0.9991834851389727,anthropometry_national_zaf
denominator_weighted,denominator_unweighted,0.9990709668615014,hiv-behavior_national_zaf
denominator_unweighted,denominator_weighted,0.9990709668615014,hiv-behavior_national_zaf
data_id,denominator_unweighted,0.9989675029700951,literacy_national_zaf
denominator_unweighted,data_id,0.9989675029700951,literacy_national_zaf
indicator_order,denominator_unweighted,-0.9985602310560059,literacy_national_zaf
denominator_unweighted,indicator_order,-0.9985602310560059,literacy_national_zaf
indicator_order,denominator_weighted,-0.9983767083077596,literacy_national_zaf
denominator_weighted,indicator_order,-0.9983767083077596,literacy_national_zaf
value,ci_low,0.9975613453712093,dhs-quickstats_national_zaf
ci_low,value,0.9975613453712093,dhs-quickstats_national_zaf
value,ci_high,0.9968934301913138,child-mortality-rates_national_zaf
ci_high,value,0.9968934301913138,child-mortality-rates_national_zaf
ci_low,ci_high,0.9958013624369928,dhs-quickstats_national_zaf
ci_high,ci_low,0.9958013624369928,dhs-quickstats_national_zaf
value,ci_low,0.9947535267715468,child-mortality-rates_national_zaf
ci_low,value,0.9947535267715468,child-mortality-rates_national_zaf
value,precision,-0.9903841593649575,anthropometry_national_zaf
precision,value,-0.9903841593649575,anthropometry_national_zaf
survey_year,ci_high,0.9902464979354572,maternal-mortality_national_zaf
survey_year_label,ci_high,0.9902464979354572,maternal-mortality_national_zaf
ci_high,survey_year,0.9902464979354572,maternal-mortality_national_zaf
ci_high,survey_year_label,0.9902464979354572,maternal-mortality_national_zaf
ci_low,ci_high,0.9846028113634746,child-mortality-rates_national_zaf
ci_high,ci_low,0.9846028113634746,child-mortality-rates_national_zaf
survey_year,ci_low,0.9844986469501914,maternal-mortality_national_zaf
survey_year_label,ci_low,0.9844986469501914,maternal-mortality_national_zaf
ci_low,survey_year,0.9844986469501914,maternal-mortality_national_zaf
ci_low,survey_year_label,0.9844986469501914,maternal-mortality_national_zaf
characteristic_id,by_variable_id,-0.9801960538200352,child-mortality-rates_national_zaf
by_variable_id,characteristic_id,-0.9801960538200352,child-mortality-rates_national_zaf
denominator_weighted,denominator_unweighted,0.9789041308285327,dhs-quickstats_national_zaf
denominator_unweighted,denominator_weighted,0.9789041308285327,dhs-quickstats_national_zaf
indicator_order,characteristic_id,-0.974701974191214,hiv-behavior_national_zaf
indicator_order,characteristic_order,-0.974701974191214,hiv-behavior_national_zaf
characteristic_id,indicator_order,-0.974701974191214,hiv-behavior_national_zaf
characteristic_order,indicator_order,-0.974701974191214,hiv-behavior_national_zaf
data_id,survey_year,-0.9733912584636899,water_national_zaf
data_id,survey_year_label,-0.9733912584636899,water_national_zaf
survey_year,data_id,-0.9733912584636899,water_national_zaf
survey_year_label,data_id,-0.9733912584636899,water_national_zaf
indicator_order,denominator_unweighted,0.9551720183504088,toilet-facilities_national_zaf
denominator_unweighted,indicator_order,0.9551720183504088,toilet-facilities_national_zaf
indicator_order,denominator_weighted,0.9521295683942108,toilet-facilities_national_zaf
denominator_weighted,indicator_order,0.9521295683942108,toilet-facilities_national_zaf
indicator_order,denominator_unweighted,0.9079239636193237,anthropometry_national_zaf
denominator_unweighted,indicator_order,0.9079239636193237,anthropometry_national_zaf
indicator_order,denominator_weighted,0.8992026364909405,anthropometry_national_zaf
denominator_weighted,indicator_order,0.8992026364909405,anthropometry_national_zaf
data_id,survey_year,-0.8597219437112626,covid-19-prevention_national_zaf
data_id,survey_year_label,-0.8597219437112626,covid-19-prevention_national_zaf
survey_year,data_id,-0.8597219437112626,covid-19-prevention_national_zaf
survey_year_label,data_id,-0.8597219437112626,covid-19-prevention_national_zaf
indicator_order,characteristic_id,-0.8524723853977411,immunization_national_zaf
indicator_order,characteristic_order,-0.8524723853977411,immunization_national_zaf
characteristic_id,indicator_order,-0.8524723853977411,immunization_national_zaf
characteristic_order,indicator_order,-0.8524723853977411,immunization_national_zaf
indicator_order,by_variable_id,-0.852472385394425,immunization_national_zaf
by_variable_id,indicator_order,-0.852472385394425,immunization_national_zaf
data_id,survey_year,-0.851531381000157,toilet-facilities_national_zaf
data_id,survey_year_label,-0.851531381000157,toilet-facilities_national_zaf
survey_year,data_id,-0.851531381000157,toilet-facilities_national_zaf
survey_year_label,data_id,-0.851531381000157,toilet-facilities_national_zaf
value,precision,-0.8503199951156389,literacy_national_zaf
precision,value,-0.8503199951156389,literacy_national_zaf
value,precision,-0.8413219670722897,water_national_zaf
precision,value,-0.8413219670722897,water_national_zaf
indicator_order,denominator_unweighted,-0.8352507532538608,covid-19-prevention_national_zaf
denominator_unweighted,indicator_order,-0.8352507532538608,covid-19-prevention_national_zaf
value,precision,-0.827642781590533,toilet-facilities_national_zaf
precision,value,-0.827642781590533,toilet-facilities_national_zaf
indicator_order,denominator_unweighted,-0.8275163713336233,symptoms-of-acute-respiratory-infection-ari_national_zaf
denominator_unweighted,indicator_order,-0.8275163713336233,symptoms-of-acute-respiratory-infection-ari_national_zaf
indicator_order,denominator_weighted,-0.826044928340447,covid-19-prevention_national_zaf
denominator_weighted,indicator_order,-0.826044928340447,covid-19-prevention_national_zaf
data_id,denominator_unweighted,0.8139307018555909,maternal-mortality_national_zaf
denominator_unweighted,data_id,0.8139307018555909,maternal-mortality_national_zaf
characteristic_id,characteristic_order,0.8058962253528064,child-mortality-rates_national_zaf
characteristic_order,characteristic_id,0.8058962253528064,child-mortality-rates_national_zaf
indicator_order,characteristic_order,-0.8037844400496498,child-mortality-rates_national_zaf
characteristic_order,indicator_order,-0.8037844400496498,child-mortality-rates_national_zaf
